Name,Speed,Stamina,Strength,Aggression,Creativity,Luck,Focus,Influence,Refelxes,Phobia,Vice,Role,Personality,Class,Affinity
Larry Van Winkle,7,6,9,5,7,6,6,8,3,Sleep,Fungi,Player,Sage,Investigator,Body
Aisha Backsplash,10,2,7,6,8,5,2,8,5,Email,Custom Vans,Staff,Humorous,Player liaison officer,Soul
Jeffrey Richardson,2,7,6,2,2,3,6,8,9,Hate mail,Puns,Management,Passionate,Director,Body
Shark Demon,2,6,5,5,8,2,5,7,9,Love,Wetness,Player,Compassionate,Investigator,Mind
Carol Fēngē,4,5,3,7,8,3,7,6,6,Sprinting,Bees,Player,Compassionate,General,Mind
Katherine Dewlap,8,5,4,7,10,10,5,4,6,Children,Gym,Player,Focused,General,Soul
Gary Martin,4,6,9,3,4,3,2,1,2,Goats,Pyramids,Staff,Romantic,Security guard,Body
Chance Bear,6,3,6,8,1,2,5,2,5,Grass,Boardgames,Superfan,Placid,Pessimist,Body
Dharv O'Yacklebrunt,5,2,4,5,6,9,9,5,5,Fish,Sitcoms,Player,Wise,Hype,Mind
Hairy Rodriguez,10,8,9,7,8,5,7,5,7,Commitment,Scotland,Superfan,Appreciative,Barstool,Soul
Stumble Market,9,3,7,6,10,6,5,2,2,Scissors,Punctuality,Superfan,Appreciative,Die-hard,None
Chloe Sod,8,9,9,4,10,3,3,8,6,Barbers,Night Driving,Superfan,Passionate,Hardcore,Soul
Sakura Von Gimmefood,3,5,9,6,9,9,2,3,9,Exotic Dancers,Toothbrushes,Superfan,Stoic,Optimist,None
Jason Morris,9,9,7,2,1,2,1,3,4,Bright Lights,Software Piracy,Superfan,Sage,Optimist,Body
808 Sod,9,6,9,5,6,8,3,9,9,Supermarkets,Chips,Staff,Idealistic,Contract negotiater,Mind
Tree Porcelain,1,5,2,2,4,4,2,7,1,Pizza ovens,Conmen,Management,Innovative,Assistant Coach,Soul
Andrea Jones,9,2,7,5,2,3,4,2,6,Basilisks,Dracula,Player,Focused,Hype,Body
Maria Bain,7,7,9,8,2,5,3,4,9,Horses,Venus,Player,Appreciative,Hype,None
Raymond Exotic,8,9,10,4,4,5,4,10,5,Buttons,Sandwiches,Superfan,Sage,Fair-weather,Body
Cornelius Berry,7,3,7,2,7,1,9,6,5,Calculus,Jokers,Superfan,Idealistic,Barstool,Body
Maria XII,4,5,3,2,2,4,9,6,9,Caviar,Solid furniture,Superfan,Placid,Pessimist,Mind
Eleanor Blade,6,9,5,3,2,2,5,10,4,Raincoats,Clapping,Superfan,Sage,Full kit wanker,Body
Nope Super,1,4,4,2,1,3,9,7,7,Dust,Grandfather,Staff,Stoic,Mascot,None
Rocky Number 27 Bus,1,8,9,10,6,5,3,3,2,Blue,Tax Evasion,Player,Wise,Specialist,Soul
Marmalade Acharya,6,6,5,3,6,4,4,2,2,Heights,Grannies,Staff,Humorous,Security guard,None
Kadek Yates,9,6,7,10,5,9,7,7,9,Socks,Oreos,Player,Confident,Hype,None
Van Clamberwobble Fēngē,2,6,5,5,3,6,10,9,6,Gambling,Motivational Posters,Staff,Innovative,Brand manager,Mind
Tree Drawbridge,9,3,6,8,2,2,6,9,7,Credit cards,Mushrooms,Management,Appreciative,Head Coach,Body
Debra New-Roman,10,10,10,3,5,2,4,3,2,Betting,Staplers,Superfan,Focused,There for the booze,Body
David Pounder,6,5,7,8,5,9,2,1,2,Prime Numbers,Pogs,Player,Placid,Consistency,Soul
Hairy Disco,5,8,10,2,3,3,10,9,10,Pillow Talk,Breakfast,Player,Placid,Hype,Body
Ahma Braeburn,4,4,4,5,4,5,9,8,8,Clowns,Confetti,Staff,Innovative,Objective reporter,Mind
Love Towel,2,7,1,2,7,5,8,4,9,Statuary,England,Superfan,Humorous,Optimist,Mind
Splash Stewart,9,6,10,5,2,3,8,5,4,Warm Weather,Marble,Management,Focused,Director,None
Rafael Gray,6,5,9,5,9,4,6,3,2,Programmers,Scotland,Staff,Stoic,Cook,Soul
Benjamin Mitchell,2,2,4,2,3,10,9,7,7,Theme Parks,Presidents,Superfan,Appreciative,Corporate guest,Mind
Creepy O'Callaghan,7,1,8,3,6,5,5,3,6,Bar Fights,Disneyland,Superfan,Modest,Fair-weather,Soul
Amanda Yates,4,4,6,9,7,7,7,8,7,Coffee Beans,Hair Bands,Superfan,Humorous,Fair-weather,None
Lisa Skidmark,6,8,3,4,9,4,3,9,3,Magnetism,Gray,Player,Confident,Consistency,Soul
Colon Backsplash,3,3,2,10,5,5,1,5,2,The Internet,Grandfather,Player,Sage,Support,Soul
Debra Sir,1,5,5,7,2,3,5,6,4,Love,Sweat,Player,Wise,Hype,None
Abimbola Fonua,4,8,8,10,10,9,5,2,4,Bright Lights,Cat Food,Superfan,Confident,Pessimist,Soul
Slots Sargon,4,5,8,8,7,5,8,5,3,Manual Transmissions,Holiday Smells,Superfan,Idealistic,Fair-weather,Soul
Splash McKenzie,5,7,5,9,8,9,5,4,4,Public Bathrooms,Punctuality,Staff,Passionate,Brand manager,Soul
Prunella Martinez,9,2,4,3,2,5,9,9,6,Email,Sweat,Player,Passionate,Closer,Body
Listen Linda Boomer,9,1,2,3,9,5,9,5,5,Calculus,Dust,Player,Passionate,Closer,Mind
Slippery Marmaduke,4,10,6,9,8,4,3,6,7,Religion,Acid,Superfan,Stoic,Full kit wanker,Soul
Gregory Ribeye,2,3,2,7,9,9,8,3,3,Trains,Meditating,Player,Romantic,Consistency,None
Hairy Varville,9,2,9,2,8,7,5,1,8,Buttons,Charities,Player,Idealistic,General,Soul
Magic Fax,2,3,4,4,3,8,4,3,3,Duct Tape,Kangaroos,Management,Placid,Assistant Coach,Mind
Sheep O'Callaghan,10,10,4,2,8,5,1,8,1,Programmers,Soldiers,Superfan,Wise,Hardcore,Body
Coarse Lopez,8,4,6,8,6,3,6,7,4,Blenders,Jewelery,Superfan,Placid,Fair-weather,Body
Biggums Pedigrue,6,8,8,2,2,2,7,8,8,Concerts,White wine,Staff,Stoic,Hype person,Body
Van Winkle McKenzie,4,8,5,4,1,2,2,3,6,Meteor Showers,Clouds,Superfan,Stoic,There for the booze,Body
Unreal  Pedigrue,4,7,1,7,5,7,3,7,7,Relatives,Stickers,Player,Wise,Consistency,Mind
Shirley Quantum,8,3,3,6,1,6,8,5,5,Pimples,Sitcoms,Player,Focused,Support,Mind
Penny Coachman,10,6,6,8,7,3,10,3,5,Windows,Exobiology,Staff,Passionate,Scout,Body
Emily Bardot,4,8,1,1,3,7,10,8,4,EDM,Public Speaking,Player,Sage,Hype,Mind
Wesley Trumpet,3,9,5,2,3,2,5,6,9,Heights,Tequila,Superfan,Romantic,There for the booze,Body
Van Clamberwobble Watson,9,9,7,2,5,2,1,8,6,Bibles,White wine,Staff,Placid,Social media intern,Body
Elizabeth Humphrey,7,7,6,3,1,5,5,7,9,Meteor Showers,AM Radio,Superfan,Idealistic,Full kit wanker,Body
Delta Banana,4,7,5,9,3,8,7,2,1,Goats,Fungible Tokens,Player,Sage,Closer,Soul
Tanya Chassis,9,4,7,5,3,4,5,7,7,Opium,Billboards,Superfan,Focused,Hardcore,Body
Flinch Moore,5,2,4,8,5,7,10,2,9,Trains,Thesaurus,Superfan,Humorous,Fair-weather,Mind
Vitalik Morgan,8,9,5,4,3,2,4,2,8,Algorythms,Train Sets,Player,Romantic,Specialist,Body
Gorakh Hellbender,5,2,4,1,7,3,4,10,8,Mercury in Retrograde,Stickers,Staff,Romantic,Objective reporter,Mind
Fingers Kingdom,9,5,4,7,5,4,6,3,3,Duct Tape,Fairies,Superfan,Modest,Optimist,Soul
Bloviate Wizard,4,2,7,4,6,5,6,8,6,Blenders,Samurai Art,Superfan,Modest,Hardcore,None
Sharon Slayer,3,2,2,6,9,1,5,9,10,Radiohead,Laser Pointers,Player,Wise,Support,Mind
Pradeep Egg,5,2,2,6,2,1,8,2,7,Vegans,Solid furniture,Player,Confident,Hype,Mind
Frank Suitcases,3,7,6,3,8,9,6,2,1,Touch,Laxatives,Player,Compassionate,Closer,Soul
Forrest Gomez,5,7,6,7,6,9,2,9,2,Alarm clocks,Cigars,Superfan,Stoic,Fair-weather,Soul
Genius Momo,9,5,8,9,9,10,1,4,3,Contortionists,Gossip,Management,Appreciative,GM,None
Shivers One,4,4,8,6,5,5,4,1,9,Caviar,Guns,Superfan,Idealistic,Hardcore,Mind
Judson Awolowo,9,8,2,9,6,3,9,6,8,Arcades,Bio-diesel,Superfan,Modest,Die-hard,Soul
Fishery Houde,1,4,10,5,9,3,6,1,1,Ambulances,Sitcoms,Superfan,Sage,There for the booze,Soul
Gregory Facsimile,9,9,6,3,2,8,9,8,5,Gambling,Pilots,Superfan,Confident,Die-hard,Soul
Coarse Paquet,1,10,5,10,7,8,6,4,4,Eyelids,Peanut butter,Player,Placid,General,Soul
Certain Misfortune Wellington,1,7,2,3,7,1,4,6,6,Email,Forced Entry,Management,Sage,Head Coach,Mind
Cleopatra Robinson,8,7,7,4,1,8,5,2,4,Chains,Jokers,Superfan,Stoic,Hardcore,Body
Noun Price,8,4,3,9,9,8,9,2,2,Milk,Racecars,Player,Confident,General,Soul
Deep Kingdom,8,5,5,9,3,9,6,2,6,Vanilla extract,Construction,Staff,Stoic,Kit Manager,Soul
Christine Embellishment,6,4,5,10,8,4,2,6,4,Diet Soda,Vigilantes,Staff,Confident,Groundskeeper,Soul
Nikita Crabwalk,6,1,7,5,8,6,2,3,1,Sunglasses,Laughing Gas,Superfan,Wise,Gambler,Soul
David Number 27 Bus,3,4,4,7,6,5,2,7,3,Passwords,Kittens,Superfan,Appreciative,Die-hard,Soul
Kevin Maroney,8,10,9,2,3,5,6,1,5,Typos,Attics,Superfan,Appreciative,Die-hard,Body
Judson Spoon,7,8,4,5,3,6,7,9,6,Spatulas,Magic Tricks,Superfan,Placid,Fair-weather,Body
Shanice Wizard,7,5,2,7,5,8,1,7,3,Contortionists,Cars,Superfan,Stoic,Scarf Guy,Soul
Niall Taint,9,7,8,7,4,7,8,9,8,Cracks,Sunsets,Superfan,Romantic,Barstool,Body
Amanda Phillips,2,10,9,6,10,9,2,3,3,Hot Dogs,Toy Phones,Superfan,Focused,Barstool,Soul
Brantley Hideous,10,10,9,9,9,7,8,8,8,Vodka,Paychecks,Staff,Compassionate,Masseuse,Body
Halo XII,3,6,6,3,5,4,5,5,8,Crows,Boardgames,Superfan,Sage,There for the booze,Body
Penny New-Roman,8,1,6,9,9,8,5,6,1,Astrology,Motivational Posters,Superfan,Focused,Full kit wanker,Soul
Mark Hugger,1,2,5,5,8,7,3,7,9,Soap,Pastrami,Staff,Stoic,Physio,Mind
Tree Lopez,9,5,5,8,4,5,9,4,4,Dinosaurs,Shouting,Player,Compassionate,Consistency,Body
Patricia Synopsis,8,5,2,6,10,9,3,5,4,Improv Comedy,Billboards,Player,Modest,General,Soul
Vince Auclair,9,8,9,6,2,3,5,3,4,Plates,Kittens,Staff,Confident,Objective reporter,Body
John Torres,5,4,7,10,7,3,6,8,9,Manual Transmissions,Coral Reefs,Player,Modest,Closer,None
Ahma Prunella,6,8,5,4,6,5,4,7,5,Pasta,Staplers,Management,Modest,Assistant Coach,Body
Kobe Myers,3,5,3,6,6,9,5,6,5,Mirrors,Pencil Sharpeners,Player,Passionate,General,Soul
Ciel Morris,3,3,3,2,1,1,6,8,4,McDonald's,Swimming Pools,Player,Confident,Consistency,None
Rastafloods Flammia,9,4,3,7,1,2,4,8,9,Blenders,Weapons,Superfan,Innovative,Hardcore,Mind
The GOAT Outstanding,9,5,7,1,1,3,4,3,9,Hot Dogs,Mothers,Player,Idealistic,General,Body
Jemimah Moonshot,4,10,6,4,7,4,3,3,9,Fast food,Holiday Smells,Superfan,Sage,Barstool,Body
Marcel Italics,8,9,6,3,9,2,8,5,6,Stingrays,Zoos,Superfan,Romantic,Die-hard,Body
Jerry Channing,2,5,7,4,7,6,5,4,3,Blue,Toy Phones,Player,Focused,Support,None
Dorothy Moonshot,9,7,4,4,3,7,4,3,4,Blankets,Boardgames,Superfan,Modest,Gambler,Body
Slots Rugs,8,10,9,7,5,4,7,5,8,Truck Drivers,Underwear,Superfan,Placid,Hardcore,Body
Eric Flores,6,8,1,5,7,9,7,8,9,Champagne,Swimming Pools,Superfan,Focused,There for the booze,Mind
Hana Chassis,5,3,2,8,10,6,1,5,6,Grass,Clouds,Player,Romantic,Consistency,Soul
Janet Fax,1,8,2,5,2,6,8,5,4,Magpies,PE Teachers,Superfan,Focused,Die-hard,Mind
Rachel Wobbegong,1,1,2,2,5,2,6,8,1,Styrofoam,Depression,Superfan,Focused,Die-hard,Mind
Wesley Hanlon,6,5,4,4,9,6,8,9,9,Marching Bands,Iron Gates,Superfan,Stoic,Die-hard,Mind
Jemimah Long,9,7,6,9,5,7,3,7,2,Marching Bands,Cars,Superfan,Wise,Pessimist,Soul
Lump Ruiz,8,10,8,1,5,2,8,10,4,Plastic,Clocks,Player,Placid,Specialist,Body
Tiger Ezekwesili,4,2,6,6,7,8,9,7,7,Guitar Strings,Puns,Superfan,Humorous,Fair-weather,Soul
Cruel Cellier,7,3,3,3,8,8,3,7,7,Oranges,Mythology,Superfan,Focused,Corporate guest,Mind
Seymour Turner,5,9,5,7,7,9,4,7,6,Flares,Racecars,Superfan,Passionate,Hardcore,Soul
Angela Phantom,1,4,6,4,9,3,5,7,8,Cat Hair,Cognac,Player,Stoic,Consistency,Mind
Constant Crackle,6,3,6,4,9,8,1,6,7,Success,Staplers,Superfan,Romantic,Pessimist,Soul
Rafael Cleopatra,10,9,8,4,5,3,5,9,10,Groundhogs,Sweat,Superfan,Romantic,Gambler,Body
Baby Towel,8,6,2,10,9,6,3,3,2,Slippers,Toy Phones,Player,Sage,Support,None
Luqman Phillips,7,5,5,4,3,6,3,10,6,Pigeons,Butterflies,Superfan,Modest,Die-hard,None
Gary Bardot,9,9,4,7,2,2,3,3,6,Witchcraft,Stickers,Player,Humorous,Closer,Body
Cornelius Phantom,9,6,6,9,1,5,4,9,9,Blankets,Haircuts,Superfan,Romantic,Full kit wanker,Body
Kathleen Bassett,5,7,4,7,8,6,6,4,7,Astrology,Fraud,Player,Romantic,Hype,Soul
Sadio Sanders,9,5,5,4,3,6,7,9,9,Nail Salons,Power,Superfan,Humorous,Fair-weather,Body
Rocky ABC,9,6,9,5,7,2,5,7,9,Flares,Argon,Player,Confident,Consistency,None
Azza Green,9,9,4,4,5,5,3,7,8,Dust,Caffeine,Superfan,Passionate,Barstool,Body
Blade Firebird,4,10,9,6,6,3,8,8,3,Plants,Exorcisms,Staff,Placid,Social media intern,Body
Fingers Flores,5,3,9,2,5,7,2,5,2,Salt,Huffing,Superfan,Appreciative,Scarf Guy,Body
Gardyloo The Small,2,4,8,8,10,9,4,6,3,Toilet Paper,Church,Player,Humorous,General,Soul
Delta Refund,10,8,8,7,8,9,7,4,4,Blankets,Grandfather,Player,Modest,Hype,Soul
Hullaballoo Envy,9,10,9,3,2,9,6,2,4,Exotic Dancers,Forced Entry,Superfan,Confident,There for the booze,Body
Janet Patel,2,2,2,2,1,2,9,8,9,Raincoats,Ping Pong Balls,Superfan,Idealistic,Hardcore,Mind
Houria Perez,2,4,3,2,9,2,4,9,7,The Letter 'S',Cheerleaders,Player,Passionate,Hype,Mind
Emma Agnor,7,9,7,9,5,4,4,6,9,Vegans,Gossip,Superfan,Confident,Full kit wanker,Body
Deep Octopus,7,7,5,2,3,8,8,6,3,Post-it notes,Sunsets,Staff,Appreciative,Cook,Body
Penny Bigly,7,7,8,3,2,3,6,9,4,Dust,Sunsets,Player,Idealistic,General,Body
Genesis Awolowo,4,5,4,9,4,8,5,3,4,Meteor Showers,Mushrooms,Superfan,Confident,Full kit wanker,Soul
Hammer Slumgullion,9,10,6,8,4,2,8,7,1,Buffets,Shoe horns,Staff,Sage,Hype person,Body
Emma Tasse,7,10,7,4,5,4,8,5,5,Toothbrushes,Gray,Player,Innovative,General,Body
Elsa Shinobi,6,8,5,4,1,1,8,7,5,Sleep,Jean shorts,Superfan,Romantic,Pessimist,Body
Malaika Flores,4,2,9,9,3,4,8,2,10,Tennis Elbow,Beanbags,Superfan,Placid,There for the booze,Mind
Cowardly James,10,8,9,5,8,4,10,5,6,Electrocution,Racecars,Player,Confident,Investigator,Body
Judson Armpit,3,4,6,2,9,2,5,9,10,Blenders,Fraud,Superfan,Appreciative,Barstool,Mind
Bastardly Beckon,5,7,8,2,8,8,8,6,2,Beer,Pancakes,Superfan,Sage,Hardcore,Soul
Cemetery Lee,3,3,2,8,5,9,8,7,7,Hot Dogs,Watches,Staff,Appreciative,Mental coach,Mind
Lump Fax,9,10,7,5,5,9,8,5,8,Warm Weather,White wine,Player,Wise,General,Body
One James,5,6,5,10,9,6,10,4,7,Mirrors,Oreos,Player,Innovative,Support,Mind
Nicole The Not So Great,9,8,8,5,4,8,2,6,4,The Internet,Spicy Food,Staff,Romantic,Sports Journalist,Soul
Kylen Taylor,5,5,1,10,10,8,5,3,5,Marching Bands,Memes,Superfan,Romantic,Die-hard,None
Nikita Ezekwesili,2,3,6,7,9,3,10,9,8,Fast food,Confetti,Superfan,Confident,Full kit wanker,Mind
Sweet Tea Hugger,2,6,4,5,8,6,3,2,7,Spatulas,Birth,Superfan,Modest,Corporate guest,Soul
Arson Tuna,3,6,8,3,1,1,7,10,5,Irony,Puns,Staff,Modest,Masseuse,None
Huge Whale Suitweasel,4,4,8,10,9,6,9,2,2,Office Environments,Guns,Superfan,Innovative,Die-hard,Soul
Easton Bockham,5,7,8,4,5,2,7,8,2,Bricks,Birth,Superfan,Modest,Hardcore,Body
Huge Whale Whippersnapper,2,1,5,8,2,5,5,6,4,Stingrays,Buffets,Superfan,Stoic,Corporate guest,Mind
Hairy Absolute Zero,4,4,2,7,8,3,7,3,4,EDM,Hit and Runs,Player,Confident,Hype,Mind
Obnoxious Nincompoop,10,9,9,5,5,4,7,5,5,Blankets,Cars,Player,Confident,Investigator,Body
Melodic Facsimile,5,7,4,8,8,9,9,9,9,Public Bathrooms,Depression,Superfan,Passionate,Gambler,Mind
Nicole Gaumond,3,9,5,10,6,10,9,6,5,Swimming,Dust,Player,Placid,General,None
Obodas Hullaballoo,7,3,9,7,10,4,2,9,6,Debt,Cheeseburgers,Player,Passionate,General,Soul
Markcosmisplats Floquet,3,7,7,1,2,3,9,9,9,Parasites,Tax Evasion,Player,Confident,Support,Mind
Steven Agnor,10,2,2,7,8,2,9,5,7,Buttons,Brazil,Superfan,Passionate,Scarf Guy,Mind
Berry Windings,3,8,3,5,3,2,2,5,7,Promiscuity,Custom Vans,Superfan,Innovative,Optimist,Body
Bishti Unit,6,3,2,5,7,7,3,5,4,Goats,Swimming Pools,Staff,Idealistic,Ball handler,Mind
Twilight Walker,2,4,7,9,8,6,2,6,1,Concerts,Greeting Cards,Superfan,Appreciative,Gambler,None
Twilight Chilly,1,2,6,7,6,6,2,4,7,Soap,Tequila,Player,Placid,Consistency,Mind
Magic Sod,8,7,1,2,6,8,6,3,4,Opium,Pogs,Player,Modest,General,Body
Cosmo Hubert,5,10,9,7,3,4,8,5,3,Crying,Elevators,Superfan,Compassionate,Barstool,Body
Jennifer Periscope,5,7,7,3,4,5,7,10,3,Debt,Freedom,Staff,Compassionate,Analyst,Body
Strange Humphrey,2,6,3,6,2,5,8,4,10,The Letter 'S',Soldiers,Superfan,Romantic,Pessimist,None
Lucifer Aye-aye,9,8,7,5,8,4,8,10,9,Diet Soda,Shoe horns,Player,Humorous,Investigator,Body
Jack The Small,7,2,7,2,6,5,8,6,10,Hotel Soaps,Tax Evasion,Staff,Sage,Mental coach,Mind
Houria XII,6,4,4,2,8,4,7,9,7,Crying,Diabetes,Player,Stoic,General,Mind
Axel Brush,6,9,9,3,5,4,4,5,10,Ambulances,Mothers,Superfan,Compassionate,Corporate guest,None
Arson Jaws,6,6,3,5,7,2,9,9,8,Self-driving Vehicles,Memes,Superfan,Confident,Gambler,Mind
Linda Exclaim,1,6,5,9,10,3,5,3,6,Pasta,Eclipses,Player,Idealistic,Closer,Mind
Alexander Von Gimmefood,1,3,3,9,4,4,9,6,10,Mouse Traps,Pajamas,Superfan,Innovative,Fair-weather,Mind
Majestic Jackson,6,4,6,3,2,6,3,7,5,Children,Tipping,Superfan,Stoic,Die-hard,Mind
Exclaim Manhattan,7,6,9,9,9,6,8,4,9,Pigeons,The Void,Staff,Focused,Masseuse,None
Krang Swedge,6,2,4,6,8,9,5,6,3,Styrofoam,Fungi,Superfan,Focused,Die-hard,None
Greta Swedge,4,7,7,5,4,7,2,7,9,Breakfast,Bracelets,Player,Passionate,General,Mind
Hammer Hubert,3,1,6,5,4,2,8,10,6,Manual Transmissions,Facepaint,Superfan,Modest,Die-hard,Mind
Boudica Zhǒng,9,6,10,1,4,5,5,4,6,Horses,Gossip,Superfan,Idealistic,Die-hard,Body
Bigbite McCulloch,5,3,7,8,5,2,9,9,10,Pimples,Diet Soda,Superfan,Passionate,Barstool,Body
wagmi The Great,6,9,10,2,4,3,5,4,8,Door Stops,Church,Superfan,Innovative,Scarf Guy,Body
Markcosmisplats Yates,3,7,8,7,2,3,3,2,8,Truck Drivers,Buffets,Staff,Stoic,Brand manager,None
Jolololo Buttz,9,4,5,9,6,7,6,6,7,Champagne,Pajamas,Superfan,Idealistic,Gambler,Soul
Melissa Baby,10,4,6,4,9,10,4,3,3,Irony,White wine,Player,Humorous,General,Soul
Alien Skidmark,10,4,5,1,1,6,5,7,8,Fish,Laxatives,Staff,Romantic,Yoga instructor,Body
Shark Octopus,5,4,8,9,10,9,6,1,7,Denmark,Ants,Superfan,Innovative,Gambler,Soul
Bobby Hellbender,3,4,5,5,5,4,5,6,1,Protein Powder,Pencil Sharpeners,Player,Appreciative,General,Mind
Widdershins Lee,4,7,4,7,5,5,6,10,7,Tomato Juice,Ping Pong Balls,Superfan,Focused,Fair-weather,None
Helen Sanders,4,9,6,8,4,2,6,9,8,Hate mail,Tax Evasion,Staff,Idealistic,Media team,Mind
Trish Stewart,5,5,7,6,5,1,9,9,9,Touch,Parachutes,Staff,Sage,Ball handler,Mind
Von Gimmefood Beauregard,4,5,10,9,6,8,7,6,8,Stingrays,Marble,Player,Innovative,Specialist,None
Silly Binman,1,1,3,9,6,6,5,5,4,Coffee Beans,Bracelets,Superfan,Innovative,Die-hard,Mind
Mary Auclair,9,7,2,5,4,5,6,4,9,Exotic Dancers,Mattresses,Player,Compassionate,Hype,None
Listen Linda Hoyabembe,4,10,8,6,5,4,8,8,7,Subtitles,Folk Dance,Player,Wise,General,Body
Guitar Gonzales,5,5,4,6,8,7,8,7,4,Astrology,Restaurants,Superfan,Focused,Hardcore,Soul
Scott Bassett,2,1,2,7,7,9,2,5,2,Midnight,Justice,Player,Innovative,Hype,Soul
Slippery Moon,2,5,4,5,1,8,2,9,8,Milk,Breakfast,Player,Modest,Support,Mind
Kenneth Gonzales,6,1,5,5,5,10,2,3,4,Showers,Stickers,Player,Confident,Closer,Soul
Annabelle Alluminium,8,6,4,6,8,6,8,9,7,Caviar,Tequila,Management,Passionate,Owner,Mind
Brian Houde,10,7,8,7,5,6,9,9,10,Touch,Staplers,Superfan,Placid,Full kit wanker,None
Boudica Windings,7,9,10,2,7,6,6,5,1,Scaffolding,Custom Vans,Staff,Confident,Hype person,Body
Kylen Sweet Tea,3,3,2,8,7,7,5,2,1,Feet,Chips,Superfan,Wise,There for the booze,Soul
Mojo Boomer,3,7,4,9,4,7,7,10,8,Jeans,Thesaurus,Superfan,Idealistic,There for the booze,Mind
Benjamin Log,9,8,7,7,9,9,1,2,5,Paper,Laxatives,Superfan,Innovative,Die-hard,Soul
Andrew White,9,7,9,6,6,10,1,2,2,Post-it notes,Haircuts,Superfan,Placid,Corporate guest,Soul
Jack Bockham,10,5,6,3,9,9,3,5,2,Highways,Custom Vans,Superfan,Idealistic,Die-hard,Soul
Jeffrey Hatterfield,6,4,4,5,8,9,3,8,7,Hypnosis,Baloons,Player,Stoic,Investigator,Soul
Super Coaster,6,9,2,7,9,8,1,1,2,Kilts,Breakfast,Superfan,Humorous,There for the booze,Soul
Dorothy Pedigrue,5,9,9,4,2,7,3,5,9,Lube,Grannies,Superfan,Appreciative,There for the booze,Body
Donna Rodriguez,5,1,4,5,9,7,9,5,8,Basements,Exobiology,Superfan,Placid,There for the booze,Mind
KVIIIlyn Prunella,2,6,9,6,8,7,5,3,2,Black Sand,Dust,Superfan,Modest,Barstool,Soul
Michael Guǎngchǎng,4,6,5,3,4,3,9,8,10,Plastic,Underwear,Player,Focused,Support,Mind
Oust Potato,6,9,1,8,9,9,8,8,5,Rugs,Cute Animals,Superfan,Wise,Die-hard,Mind
Samuel King,2,7,7,5,3,10,9,9,8,Groundhogs,Mattresses,Player,Romantic,General,Mind
Brandon Jessup,5,4,8,8,9,9,5,6,5,Cuttlery,Billboards,Superfan,Focused,Hardcore,Soul
